# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.4027e-05   6.6096e-05   0.0000e+00   7.9433e-05  -4.1000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.5738e-05   7.4161e-05   0.0000e+00   8.9125e-05  -4.0500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.7658e-05   8.3211e-05   0.0000e+00   1.0000e-04  -4.0000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.9813e-05   9.3364e-05   0.0000e+00   1.1220e-04  -3.9500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.2231e-05   1.0476e-04   0.0000e+00   1.2589e-04  -3.9000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.4943e-05   1.1754e-04   0.0000e+00   1.4125e-04  -3.8500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.7987e-05   1.3188e-04   0.0000e+00   1.5849e-04  -3.8000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.1402e-05   1.4797e-04   0.0000e+00   1.7783e-04  -3.7500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.5233e-05   1.6603e-04   0.0000e+00   1.9953e-04  -3.7000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.9532e-05   1.8629e-04   0.0000e+00   2.2387e-04  -3.6500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -4.4356e-05   2.0902e-04   0.0000e+00   2.5119e-04  -3.6000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -4.9768e-05   2.3452e-04   0.0000e+00   2.8184e-04  -3.5500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -5.5841e-05   2.6313e-04   0.0000e+00   3.1623e-04  -3.5000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -6.2655e-05   2.9524e-04   0.0000e+00   3.5481e-04  -3.4500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -7.0300e-05   3.3127e-04   0.0000e+00   3.9811e-04  -3.4000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -7.8878e-05   3.7169e-04   0.0000e+00   4.4668e-04  -3.3500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -8.8502e-05   4.1704e-04   0.0000e+00   5.0119e-04  -3.3000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -9.9301e-05   4.6793e-04   0.0000e+00   5.6234e-04  -3.2500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.1142e-04   5.2502e-04   0.0000e+00   6.3096e-04  -3.2000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.2501e-04   5.8909e-04   0.0000e+00   7.0795e-04  -3.1500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.4027e-04   6.6096e-04   0.0000e+00   7.9433e-04  -3.1000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.5738e-04   7.4161e-04   0.0000e+00   8.9125e-04  -3.0500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.7658e-04   8.3211e-04   0.0000e+00   1.0000e-03  -3.0000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.9813e-04   9.3364e-04   0.0000e+00   1.1220e-03  -2.9500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.2231e-04   1.0476e-03   0.0000e+00   1.2589e-03  -2.9000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.4943e-04   1.1754e-03   0.0000e+00   1.4125e-03  -2.8500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.7987e-04   1.3188e-03   0.0000e+00   1.5849e-03  -2.8000e+00 
